best	 mean
271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

271.29	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7129e+02

269.822	   2.7125e+02

269.822	   2.7075e+02

269.822	   2.7001e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

269.822	   2.6982e+02

